Aalborg,Denmark___+57.09700___+9.85000
Abbotsford,BC___+49.03000___-122.32000
AberdeenPrvGnd,MD___+39.23500___-76.17490
Aberdeen,ID___+42.95000___-112.83000
Aberdeen,MD___+39.51170___-76.16170
Aberdeen,Scotland___+57.20000___-2.20000
Aberdeen,SD___+45.46700___-98.48300
Aberdeen,WA___+47.00000___-123.80000
Abilene,KS___+38.90000___-97.20000
Abilene,TX___+32.46500___-99.71330
Acapulco,Mexico___+16.75000___-99.76700
Accra,Ghana___+5.60000___-0.16700
Ada,MN___+47.28300___-96.53300
Adak,AK___+51.66700___-176.46700
Adams,MA___+42.58300___-73.16700
AddisAbaba,Ethiopia___+9.00000___+38.73330
Adelaide,Australia___-34.76660___+138.53670
Aden,Yemen(PDRof)___+12.80000___+45.00000
Afton,OK___+36.70000___-94.93300
Afton,WY___+42.70000___-110.86700
AganaNAS,Guam___+13.48167___+144.79330
Ahwahnee,CA___+37.25000___-119.42000
Aiken,SC___+33.53300___-81.71700
Ainsworth,NE___+42.53300___-99.85000
Ajo,AZ___+32.33300___-112.91700
Akron,OH___+41.08330___-81.51220
AlManamah,Bahrain___+26.01670___+50.55000
Alameda,CA___+37.76330___-122.24300
Alamo,NV___+37.36700___-115.16700
Alamogordo,NM___+32.90000___-105.95700
Albany,GA___+31.57500___-84.15830
Albany,NY___+42.65030___-73.75030
Albany,OR___+44.63330___-123.09800
Albion,ID___+42.40000___-113.57000
Albuquerque,NM___+35.08360___-106.65100
Alcoa,TN___+35.75000___-84.00000
Aldermaston,England___+51.11933___-1.15543
Alert,NWT___+82.52000___-62.28000
AlexanderCity,AL___+32.91700___-85.91700
Alexandria,Egypt___+31.19000___+29.95000
Alexandria,LA___+31.30170___-92.45330
Alexandria,VA___+38.80330___-77.05000
Algiers,Algeria___+36.70000___+3.21700
Alhambra,CA___+34.14000___-118.10700
AliceSprings,Austral___-23.80000___+133.90000
AllenAAF,AK___+64.00000___-145.72000
Allentown,PA___+40.60300___-75.46830
Alliance,NE___+42.10000___-102.88300
Alpharetta,GA___+34.06110___-84.22220
Alpine,CA___+32.50370___-116.45100
Altenstadt,Germany___+47.83400___+10.86800
Altoona,PA___+40.51530___-78.40080
AmamiIsland,Japan___+28.25000___+129.70000
Amarillo,TX___+35.20750___-101.83400
Ambler,AK___+67.08000___-157.85000
Amchitka,AK___+51.38000___-179.26000
AmericanFalls,ID___+42.75000___-112.88300
Ames,IA___+42.03170___-93.61670
Amherst,OH___+41.39750___-82.21970
AmilcarCabral,C.Ver___+16.75000___-22.95000
